iter	Passed	Remaining
738	1351	477
739	1351	475
740	1352	472
741	1353	470
742	1355	468
743	1356	466
744	1357	464
745	1358	462
746	1359	460
747	1359	458
748	1361	456
749	1362	454
750	1363	452
751	1364	450
752	1365	447
753	1366	445
754	1367	443
755	1368	441
756	1369	439
757	1370	437
758	1371	435
759	1372	433
760	1375	432
761	1376	429
762	1377	427
763	1378	425
764	1379	423
765	1381	421
766	1382	419
767	1382	417
768	1384	415
769	1384	413
770	1385	411
771	1387	409
772	1388	407
773	1389	405
774	1390	403
775	1390	401
776	1391	399
777	1393	397
778	1394	395
779	1395	393
780	1395	391
781	1396	389
782	1397	387
783	1398	385
784	1399	383
785	1400	381
786	1401	379
787	1402	377
788	1402	375
789	1403	373
790	1404	371
791	1405	369
792	1407	367
793	1408	365
794	1409	363
795	1409	361
796	1410	359
797	1412	357
798	1413	355
799	1413	353
800	1415	351
801	1415	349
802	1416	347
803	1417	345
804	1419	343
805	1420	341
806	1421	340
807	1422	338
808	1423	336
809	1424	334
810	1425	332
811	1426	330
812	1427	328
813	1428	326
814	1428	324
815	1430	322
816	1432	320
817	1433	318
818	1434	317
819	1437	315
820	1438	313
821	1440	311
822	1441	309
823	1442	308
824	1443	306
825	1445	304
826	1446	302
827	1448	300
828	1451	299
829	1452	297
830	1453	295
831	1455	293
832	1457	292
833	1457	290
834	1459	288
835	1464	287
836	1466	285
837	1467	283
838	1469	282
839	1471	280
840	1476	279
841	1477	277
842	1478	275
843	1481	273
844	1483	272
845	1485	270
846	1487	268
847	1489	266
848	1490	265
849	1492	263
850	1494	261
851	1495	259
852	1497	257
853	1500	256
854	1502	254
855	1508	253
856	1509	251
857	1510	249
858	1511	248
859	1512	246
860	1513	244
861	1514	242
862	1515	240
863	1516	238
864	1523	237
865	1527	236
866	1529	234
867	1530	232
868	1532	231
869	1543	230
870	1545	228
871	1554	228
872	1559	226
873	1560	224
874	1561	223
875	1563	221
876	1564	219
877	1565	217
878	1566	215
879	1568	213
880	1570	212
881	1571	210
882	1573	208
883	1574	206
884	1575	204
885	1577	202
886	1579	201
887	1581	199
888	1582	197
889	1584	195
890	1585	194
891	1586	192
892	1589	190
893	1590	188
894	1591	186
895	1596	185
896	1597	183
897	1599	181
898	1600	179
899	1602	178
900	1604	176
901	1609	174
902	1610	172
903	1610	171
904	1612	169
905	1613	167
906	1615	165
907	1616	163
908	1617	161
909	1621	160
910	1622	158
911	1623	156
912	1624	154
913	1625	152
914	1626	151
915	1627	149
916	1632	147
917	1633	145
918	1634	144
919	1635	142
920	1635	140
921	1637	138
922	1638	136
923	1641	135
924	1644	133
925	1646	131
926	1647	129
927	1648	127
928	1650	126
929	1652	124
930	1653	122
931	1653	120
932	1654	118
933	1657	117
934	1658	115
935	1659	113
936	1660	111
937	1664	110
938	1666	108
939	1667	106
940	1669	104
941	1671	102
942	1671	101
943	1673	99
944	1674	97
945	1676	95
946	1676	93
947	1677	92
948	1678	90
949	1679	88
950	1679	86
951	1681	84
952	1682	82
953	1684	81
954	1684	79
955	1685	77
956	1686	75
957	1688	74
958	1688	72
959	1689	70
960	1690	68
961	1691	66
962	1692	65
963	1695	63
964	1695	61
965	1696	59
966	1697	57
967	1698	56
968	1699	54
969	1700	52
970	1701	50
971	1702	49
972	1703	47
973	1703	45
974	1704	43
975	1705	41
976	1706	40
977	1707	38
978	1708	36
979	1709	34
980	1710	33
981	1710	31
982	1713	29
983	1714	27
984	1715	26
985	1715	24
986	1716	22
987	1717	20
988	1718	19
989	1719	17
990	1720	15
991	1721	13
992	1722	12
993	1723	10
994	1724	8
995	1726	6
996	1727	5
997	1727	3
998	1728	1
999	1729	0
